File,Database_Code
Bornite__0003824.cif,amcsd 0003824
Bornite__0003825.cif,amcsd 0003825
Bornite__0005156.cif,amcsd 0005156
Bornite__0009281.cif,amcsd 0009281
Bornite__0009542.cif,amcsd 0009542
Boulangerite__0000096.cif,amcsd 0000096
Boulangerite__0010118.cif,amcsd 0010118
Boulangerite__0018398.cif,amcsd 0018398
Boulangerite__0019191.cif,amcsd 0019191
Boulangerite__0019740.cif,amcsd 0019740
Bournonite__0010713.cif,amcsd 0010713
Bowieite__0009315.cif,amcsd 0009315
Bowlesite__0021267.cif,amcsd 0021267
Braggite__0009481.cif,amcsd 0009481
Brezinaite__0009201.cif,amcsd 0009201
Briartite__0014274.cif,amcsd 0014274
Brodtkorbite__0021262.cif,amcsd 0021262
Browneite__0011532.cif,amcsd 0011532
Browneite__0018216.cif,amcsd 0018216
Browneite__0019735.cif,amcsd 0019735
Buckhornite__0011084.cif,amcsd 0011084
Bukovite__0018803.cif,amcsd 0018803
Bukovite__0021472.cif,amcsd 0021472
Buseckite__0019081.cif,amcsd 0019081
Cadmoindite__0015766.cif,amcsd 0015766
Cadmoselite__0011541.cif,amcsd 0011541
Cadmoselite__0015178.cif,amcsd 0015178
Cadmoselite__0019175.cif,amcsd 0019175
Calaverite__0009826.cif,amcsd 0009826
Calaverite__0009827.cif,amcsd 0009827
Calaverite__0009860.cif,amcsd 0009860
Calaverite__0009861.cif,amcsd 0009861
Calaverite__0009862.cif,amcsd 0009862
Calaverite__0009863.cif,amcsd 0009863
Calaverite__0009864.cif,amcsd 0009864
Calaverite__0009865.cif,amcsd 0009865
Calaverite__0009866.cif,amcsd 0009866
Calaverite__0009867.cif,amcsd 0009867
Calaverite__0009868.cif,amcsd 0009868
Calaverite__0009869.cif,amcsd 0009869
Calaverite__0010874.cif,amcsd 0010874
Cameronite__0020464.cif,amcsd 0020464
Canfieldite__0019044.cif,amcsd 0019044
Cannizzarite__0006281.cif,amcsd 0006281
Cannizzarite__0009657.cif,amcsd 0009657
Cannizzarite__0019197.cif,amcsd 0019197
Capgaronnite__0001444.cif,amcsd 0001444
Carlinite__0014029.cif,amcsd 0014029
Carlinite__0014030.cif,amcsd 0014030
Carlinite__0015553.cif,amcsd 0015553
Carrollite__0013181.cif,amcsd 0013181
Carrollite__0014234.cif,amcsd 0014234
Carrollite__0014235.cif,amcsd 0014235
Carrollite__0017667.cif,amcsd 0017667
Caswellsilverite__0013300.cif,amcsd 0013300
Caswellsilverite__0013301.cif,amcsd 0013301
Catamarcaite__0006132.cif,amcsd 0006132
Cattierite__0009852.cif,amcsd 0009852
Cattierite__0010814.cif,amcsd 0010814
Cattierite__0010991.cif,amcsd 0010991
Chalcocite__0000864.cif,amcsd 0000864
Chalcocite__0006938.cif,amcsd 0006938
Chalcocite__0010817.cif,amcsd 0010817
Chalcocite__0019202.cif,amcsd 0019202
Chalcopyrite__0009476.cif,amcsd 0009476
Chalcopyrite__0017651.cif,amcsd 0017651
Chalcopyrite__0017661.cif,amcsd 0017661
Chalcopyrite__0018622.cif,amcsd 0018622
Chalcopyrite__0018623.cif,amcsd 0018623
Chalcostibite__0003673.cif,amcsd 0003673
Chalcostibite__0010509.cif,amcsd 0010509
Chalcostibite__0014524.cif,amcsd 0014524
Chalcothallite__0014710.cif,amcsd 0014710
Chlorbartonite__0005834.cif,amcsd 0005834
Chrisstanleyite__0006090.cif,amcsd 0006090
Christite__0010787.cif,amcsd 0010787
Chvilevaite__0015619.cif,amcsd 0015619
Cinnabar__0000007.cif,amcsd 0000007
Cinnabar__0012137.cif,amcsd 0012137
Cinnabar__0018203.cif,amcsd 0018203
Ciriottiite__0020592.cif,amcsd 0020592
Clausthalite__0000004.cif,amcsd 0000004
Clausthalite__0010047.cif,amcsd 0010047
Clausthalite__0010048.cif,amcsd 0010048
Clausthalite__0011373.cif,amcsd 0011373
Clerite__0010988.cif,amcsd 0010988
Clinosulphur__0009945.cif,amcsd 0009945
Cobaltite__0000137.cif,amcsd 0000137
Cobaltite__0000138.cif,amcsd 0000138
Cobaltite__0000883.cif,amcsd 0000883
Cobaltite__0005243.cif,amcsd 0005243
Cobaltpentlandite__0005106.cif,amcsd 0005106
Cobaltpentlandite__0018076.cif,amcsd 0018076
Coloradoite__0011528.cif,amcsd 0011528
Coloradoite__0017442.cif,amcsd 0017442
Coloradoite__0017666.cif,amcsd 0017666
Colusite__0001671.cif,amcsd 0001671
Colusite__0014060.cif,amcsd 0014060
Colusite__0014061.cif,amcsd 0014061
Colusite__0014062.cif,amcsd 0014062
Cooperite__0012398.cif,amcsd 0012398
Cooperite__0012399.cif,amcsd 0012399
Cooperite__0012400.cif,amcsd 0012400
Cooperite__0012401.cif,amcsd 0012401
Cooperite__0012402.cif,amcsd 0012402
Cooperite__0012403.cif,amcsd 0012403
Cooperite__0012404.cif,amcsd 0012404
Cooperite__0012405.cif,amcsd 0012405
Cooperite__0012406.cif,amcsd 0012406
Cooperite__0012407.cif,amcsd 0012407
Cooperite__0012408.cif,amcsd 0012408
Cooperite__0018175.cif,amcsd 0018175
Corderoite__0009337.cif,amcsd 0009337
Cosalite__0010765.cif,amcsd 0010765
Cosalite__0017816.cif,amcsd 0017816
Cosalite__0017817.cif,amcsd 0017817
Cosalite__0017818.cif,amcsd 0017818
Cosalite__0017819.cif,amcsd 0017819
Cosalite__0017820.cif,amcsd 0017820
Cosalite__0017821.cif,amcsd 0017821
Costibite__0005114.cif,amcsd 0005114
Covellite__0000065.cif,amcsd 0000065
Covellite__0000534.cif,amcsd 0000534
Covellite__0010940.cif,amcsd 0010940
Covellite__0010941.cif,amcsd 0010941
Covellite__0010942.cif,amcsd 0010942
Covellite__0010943.cif,amcsd 0010943
Covellite__0010944.cif,amcsd 0010944
Covellite__0010979.cif,amcsd 0010979
Covellite__0010980.cif,amcsd 0010980
Covellite__0010981.cif,amcsd 0010981
Covellite__0014418.cif,amcsd 0014418
Covellite__0015657.cif,amcsd 0015657
Covellite__0017645.cif,amcsd 0017645
Covellite__0017675.cif,amcsd 0017675
Crerarite__0018370.cif,amcsd 0018370
Crookesite__0013691.cif,amcsd 0013691
Crookesite__0013692.cif,amcsd 0013692
Crookesite__0013693.cif,amcsd 0013693
Cubanite__0000042.cif,amcsd 0000042
Cubanite__0000068.cif,amcsd 0000068
Cubanite__0001533.cif,amcsd 0001533
Cubanite__0001534.cif,amcsd 0001534
Cubanite__0001535.cif,amcsd 0001535
Cubanite__0001536.cif,amcsd 0001536
Cubanite__0010719.cif,amcsd 0010719
Cubanite__0010720.cif,amcsd 0010720
Cuboargyrite__0009223.cif,amcsd 0009223
Cuprobismutite__0005923.cif,amcsd 0005923
Cuproiridsite__0014172.cif,amcsd 0014172
Cuproiridsite__0014173.cif,amcsd 0014173
Cuprokalininite__0012907.cif,amcsd 0012907
Cuprokalininite__0013422.cif,amcsd 0013422
Cuprokalininite__0013423.cif,amcsd 0013423
Cuprokalininite__0013424.cif,amcsd 0013424
Cuprokalininite__0013425.cif,amcsd 0013425
Cuprokalininite__0013444.cif,amcsd 0013444
Cuprokalininite__0013445.cif,amcsd 0013445
Cuprokalininite__0013446.cif,amcsd 0013446
Cuprokalininite__0013447.cif,amcsd 0013447
Cuprokalininite__0013448.cif,amcsd 0013448
Cuprokalininite__0013449.cif,amcsd 0013449
Cuprokalininite__0013450.cif,amcsd 0013450
Cuprokalininite__0018335.cif,amcsd 0018335
Cupromakopavonite__0019215.cif,amcsd 0019215
Cupromakovickyite__0006187.cif,amcsd 0006187
Cuproneyite__0019214.cif,amcsd 0019214
Cupropearceite__0015712.cif,amcsd 0015712
Cupropolybasite__0014581.cif,amcsd 0014581
Cuprorhodsite__0013436.cif,amcsd 0013436
Dadsonite__0006133.cif,amcsd 0006133
Dadsonite__0006134.cif,amcsd 0006134
Dalnegroite__0020126.cif,amcsd 0020126
Dantopaite__0006280.cif,amcsd 0006280
Daomanite__0019982.cif,amcsd 0019982
Daomanite__0019983.cif,amcsd 0019983
Debattistiite__0018994.cif,amcsd 0018994
Demicheleite-(Br)__0004679.cif,amcsd 0004679
Demicheleite-(Cl)__0004960.cif,amcsd 0004960
Dervillite__0019987.cif,amcsd 0019987
Dervillite__0021793.cif,amcsd 0021793
Dervillite__0021794.cif,amcsd 0021794
Diaphorite__0006959.cif,amcsd 0006959
Digenite__0000082.cif,amcsd 0000082
Digenite__0000121.cif,amcsd 0000121
Digenite__0006937.cif,amcsd 0006937
Digenite__0006939.cif,amcsd 0006939
Digenite__0006940.cif,amcsd 0006940
Digenite__0019150.cif,amcsd 0019150
Digenite__0019151.cif,amcsd 0019151
Dimorphite__0014106.cif,amcsd 0014106
Disulfodadsonite__0020026.cif,amcsd 0020026
Djurleite__0010818.cif,amcsd 0010818
Djurleite__0019203.cif,amcsd 0019203
Eclarite__0015698.cif,amcsd 0015698
Eclarite__0019708.cif,amcsd 0019708
Edenharterite__0010861.cif,amcsd 0010861
Edenharterite__0015410.cif,amcsd 0015410
Edgarite__0013199.cif,amcsd 0013199
Ehrigite__original__0021730.cif,
Ellisite__0010824.cif,amcsd 0010824
Emilite__0005769.cif,amcsd 0005769
Emplectite__0003674.cif,amcsd 0003674
Emplectite__0014523.cif,amcsd 0014523
Empressite__0003585.cif,amcsd 0003585
Enargite__0009381.cif,amcsd 0009381
Enargite__0010518.cif,amcsd 0010518
Enargite__0011108.cif,amcsd 0011108
Enargite__0014370.cif,amcsd 0014370
Enargite__0014921.cif,amcsd 0014921
Erazoite__0020419.cif,amcsd 0020419
Erlichmanite__0011029.cif,amcsd 0011029
Erlichmanite__0017725.cif,amcsd 0017725
Erniggliite__0015406.cif,amcsd 0015406
Eskebornite__0014365.cif,amcsd 0014365
Eucairite__0010578.cif,amcsd 0010578
Eucairite__0010579.cif,amcsd 0010579
Famatinite__0009468.cif,amcsd 0009468
Famatinite__0011106.cif,amcsd 0011106
Fangite__0001617.cif,amcsd 0001617
Felbertalite__0006838.cif,amcsd 0006838
Ferrodimolybdenite__0021731.cif,amcsd 0021731
Ferrofettelite__0018797.cif,amcsd 0018797
Ferroselite__0011936.cif,amcsd 0011936
Ferroselite__0013331.cif,amcsd 0013331
Ferroselite__0015754.cif,amcsd 0015754
Ferroselite__0020709.cif,amcsd 0020709
