File,Database_Code
Molybdenite__0017908.cif,amcsd 0017908
Molybdenite__0018136.cif,amcsd 0018136
Mooihoekite__0009489.cif,amcsd 0009489
Murchisite__0009198.cif,amcsd 0009198
Murunskite__0014368.cif,amcsd 0014368
Murunskite__0017729.cif,amcsd 0017729
Muthmannite__0003649.cif,amcsd 0003649
Mutnovskite__0003993.cif,amcsd 0003993
Naumannite__0000262.cif,amcsd 0000262
Neyite__0005753.cif,amcsd 0005753
Niningerite__0011350.cif,amcsd 0011350
Nowackiite__0010640.cif,amcsd 0010640
Nuffieldite__0005532.cif,amcsd 0005532
Nukundamite__0000828.cif,amcsd 0000828
Ognitite__0020948.cif,amcsd 0020948
Okruginite__0021555.cif,amcsd 0021555
Oldhamite__0011284.cif,amcsd 0011284
Oldhamite__0018102.cif,amcsd 0018102
Orpiment__0010733.cif,amcsd 0010733
Orpiment__0014411.cif,amcsd 0014411
Orthogersdorffite__0000884.cif,amcsd 0000884
Ottemannite__0009775.cif,amcsd 0009775
Owyheeite__0007225.cif,amcsd 0007225
Paarite__0005754.cif,amcsd 0005754
Paarite__0006080.cif,amcsd 0006080
Palladseite__0009271.cif,amcsd 0009271
Palladseite__0009272.cif,amcsd 0009272
Palladseite__0009273.cif,amcsd 0009273
Panskyite__0020960.cif,amcsd 0020960
Paracostibite__0005115.cif,amcsd 0005115
Paradimorphite__0014104.cif,amcsd 0014104
Paragersdorffite__0000168.cif,amcsd 0000168
Paraguanajuatite__0013195.cif,amcsd 0013195
Parapierrotite__0010823.cif,amcsd 0010823
Pararealgar__0001734.cif,amcsd 0001734
Pararealgar__0015782.cif,amcsd 0015782
Parasterryite__0019483.cif,amcsd 0019483
Pautovite__0014041.cif,amcsd 0014041
Pautovite__0014045.cif,amcsd 0014045
Pautovite__0014048.cif,amcsd 0014048
Pavonite__0005141.cif,amcsd 0005141
Pearceite__0006140.cif,amcsd 0006140
Pearceite__0006142.cif,amcsd 0006142
Pearceite__0009933.cif,amcsd 0009933
Pearceite__0009934.cif,amcsd 0009934
Pearceite__0009935.cif,amcsd 0009935
Pekoite__0005123.cif,amcsd 0005123
Pentlandite__0000079.cif,amcsd 0000079
Pentlandite__0000437.cif,amcsd 0000437
Pentlandite__0000438.cif,amcsd 0000438
Pentlandite__0000439.cif,amcsd 0000439
Pentlandite__0000440.cif,amcsd 0000440
Pentlandite__0000441.cif,amcsd 0000441
Pentlandite__0000442.cif,amcsd 0000442
Pentlandite__0000443.cif,amcsd 0000443
Pentlandite__0004226.cif,amcsd 0004226
Pentlandite__0004227.cif,amcsd 0004227
Pentlandite__0004228.cif,amcsd 0004228
Pentlandite__0004229.cif,amcsd 0004229
Pentlandite__0005094.cif,amcsd 0005094
Pentlandite__0005095.cif,amcsd 0005095
Pentlandite__0005096.cif,amcsd 0005096
Pentlandite__0007699.cif,amcsd 0007699
Pentlandite__0007700.cif,amcsd 0007700
Pentlandite__0007701.cif,amcsd 0007701
Pentlandite__0007702.cif,amcsd 0007702
Pentlandite__0007703.cif,amcsd 0007703
Pentlandite__0007704.cif,amcsd 0007704
Pentlandite__0007705.cif,amcsd 0007705
Pentlandite__0007706.cif,amcsd 0007706
Pentlandite__0007707.cif,amcsd 0007707
Pentlandite__0007708.cif,amcsd 0007708
Pentlandite__0007709.cif,amcsd 0007709
Pentlandite__0007710.cif,amcsd 0007710
Pentlandite__0007711.cif,amcsd 0007711
Pentlandite__0007712.cif,amcsd 0007712
Pentlandite__0007713.cif,amcsd 0007713
Pentlandite__0007714.cif,amcsd 0007714
Pentlandite__0007715.cif,amcsd 0007715
Pentlandite__0007716.cif,amcsd 0007716
Pentlandite__0007717.cif,amcsd 0007717
Pentlandite__0007718.cif,amcsd 0007718
Pentlandite__0007719.cif,amcsd 0007719
Pentlandite__0007720.cif,amcsd 0007720
Pentlandite__0007721.cif,amcsd 0007721
Pentlandite__0007722.cif,amcsd 0007722
Pentlandite__0007723.cif,amcsd 0007723
Pentlandite__0007724.cif,amcsd 0007724
Pentlandite__0007725.cif,amcsd 0007725
Pentlandite__0018056.cif,amcsd 0018056
Pentlandite__0018077.cif,amcsd 0018077
Pentlandite__0018078.cif,amcsd 0018078
Perroudite__0001135.cif,amcsd 0001135
Petzite__0000087.cif,amcsd 0000087
Philrothite__0020025.cif,amcsd 0020025
Picotpaulite__0011971.cif,amcsd 0011971
Pierrotite__0010859.cif,amcsd 0010859
Pilsenite__0009659.cif,amcsd 0009659
Pirquitasite__0019767.cif,amcsd 0019767
Pizgrischite__0006155.cif,amcsd 0006155
Plagionite__0010763.cif,amcsd 0010763
Pokhodyashinite__0021064.cif,amcsd 0021064
Polybasite__0004814.cif,amcsd 0004814
Polybasite__0019922.cif,amcsd 0019922
Polydymite__0012049.cif,amcsd 0012049
Proudite__0000526.cif,amcsd 0000526
Proudite__0006273.cif,amcsd 0006273
Proustite__0014938.cif,amcsd 0014938
Proustite__0014939.cif,amcsd 0014939
Proustite__0014940.cif,amcsd 0014940
Proustite__0018040.cif,amcsd 0018040
Proustite__0018082.cif,amcsd 0018082
Putzite__0005995.cif,amcsd 0005995
Pyrargyrite__0013027.cif,amcsd 0013027
Pyrargyrite__0014730.cif,amcsd 0014730
Pyrargyrite__0018041.cif,amcsd 0018041
Pyrargyrite__0018083.cif,amcsd 0018083
Pyrite__0000006.cif,amcsd 0000006
Pyrite__0000605.cif,amcsd 0000605
Pyrite__0000606.cif,amcsd 0000606
Pyrite__0007752.cif,amcsd 0007752
Pyrite__0007753.cif,amcsd 0007753
Pyrite__0012728.cif,amcsd 0012728
Pyrite__0012729.cif,amcsd 0012729
Pyrite__0012730.cif,amcsd 0012730
Pyrite__0017728.cif,amcsd 0017728
Pyrostilpnite__0014734.cif,amcsd 0014734
Pyrrhotite__0000288.cif,amcsd 0000288
Pyrrhotite__0004985.cif,amcsd 0004985
Pyrrhotite__0005000.cif,amcsd 0005000
Pyrrhotite__0005001.cif,amcsd 0005001
Pyrrhotite__0018053.cif,amcsd 0018053
Pyrrhotite__0018054.cif,amcsd 0018054
Pyrrhotite__0020604.cif,amcsd 0020604
Pyrrhotite__0020605.cif,amcsd 0020605
Pyrrhotite__0020728.cif,amcsd 0020728
Pyrrhotite__0020729.cif,amcsd 0020729
Pyrrhotite__0020730.cif,amcsd 0020730
Quadratite__0019742.cif,amcsd 0019742
Quatrandorite__0019736.cif,amcsd 0019736
Raberite__0019616.cif,amcsd 0019616
Radtkeite__0005926.cif,amcsd 0005926
Raguinite__0013236.cif,amcsd 0013236
Ralphcannonite__0020618.cif,amcsd 0020618
Rambergite__0010364.cif,amcsd 0010364
Rambergite__0011549.cif,amcsd 0011549
Rasvumite__0000782.cif,amcsd 0000782
Rasvumite__0014044.cif,amcsd 0014044
Rasvumite__0014046.cif,amcsd 0014046
Rasvumite__0014047.cif,amcsd 0014047
Realgar__0003933.cif,amcsd 0003933
Realgar__0003934.cif,amcsd 0003934
Realgar__0003935.cif,amcsd 0003935
Realgar__0003936.cif,amcsd 0003936
Realgar__0003937.cif,amcsd 0003937
Realgar__0004856.cif,amcsd 0004856
Realgar__0004857.cif,amcsd 0004857
Realgar__0004858.cif,amcsd 0004858
Realgar__0004859.cif,amcsd 0004859
Realgar__0004860.cif,amcsd 0004860
Realgar__0004861.cif,amcsd 0004861
Realgar__0004862.cif,amcsd 0004862
Realgar__0004863.cif,amcsd 0004863
Realgar__0004864.cif,amcsd 0004864
Realgar__0004865.cif,amcsd 0004865
Realgar__0004866.cif,amcsd 0004866
Realgar__0004867.cif,amcsd 0004867
Realgar__0004868.cif,amcsd 0004868
Realgar__0004869.cif,amcsd 0004869
Realgar__0004870.cif,amcsd 0004870
Realgar__0004871.cif,amcsd 0004871
Realgar__0004872.cif,amcsd 0004872
Realgar__0004873.cif,amcsd 0004873
Realgar__0004874.cif,amcsd 0004874
Realgar__0004877.cif,amcsd 0004877
Realgar__0004882.cif,amcsd 0004882
Realgar__0009149.cif,amcsd 0009149
Realgar__0010732.cif,amcsd 0010732
Realgar__0011671.cif,amcsd 0011671
Realgar__0019366.cif,amcsd 0019366
Realgar__0019367.cif,amcsd 0019367
Realgar__0019368.cif,amcsd 0019368
Realgar__0019369.cif,amcsd 0019369
Realgar__0019370.cif,amcsd 0019370
Realgar__0019371.cif,amcsd 0019371
Realgar__0019372.cif,amcsd 0019372
Realgar__0019373.cif,amcsd 0019373
Rebulite__0010849.cif,amcsd 0010849
Rhodostannite__0009688.cif,amcsd 0009688
Richardsollyite__0021485.cif,amcsd 0021485
Rickardite__0000047.cif,amcsd 0000047
Robinsonite__0010117.cif,amcsd 0010117
Roquesite__0013005.cif,amcsd 0013005
Roquesite__0015450.cif,amcsd 0015450
Routhierite__0010482.cif,amcsd 0010482
Roxbyite__0019199.cif,amcsd 0019199
Rucklidgeite__0015894.cif,amcsd 0015894
Rudashevskyite__0004582.cif,amcsd 0004582
Rudashevskyite__0004583.cif,amcsd 0004583
Rudashevskyite__0004584.cif,amcsd 0004584
Salzburgite__0006079.cif,amcsd 0006079
Samsonite__0004356.cif,amcsd 0004356
Samsonite__0004357.cif,amcsd 0004357
Samsonite__0004358.cif,amcsd 0004358
Samsonite__0004359.cif,amcsd 0004359
Samsonite__0004360.cif,amcsd 0004360
Samsonite__0010764.cif,amcsd 0010764
Samsonite__0016151.cif,amcsd 0016151
Sartorite__0002988.cif,amcsd 0002988
Schlemaite__0005918.cif,amcsd 0005918
Sederholmite__0011582.cif,amcsd 0011582
Sederholmite__0011904.cif,amcsd 0011904
Sederholmite__0011905.cif,amcsd 0011905
Sederholmite__0011906.cif,amcsd 0011906
Sederholmite__0011907.cif,amcsd 0011907
Sederholmite__0018201.cif,amcsd 0018201
Selenium__0009152.cif,amcsd 0009152
Selenium__0009424.cif,amcsd 0009424
Selenium__0011257.cif,amcsd 0011257
Selenium__0011259.cif,amcsd 0011259
Selenium__0011260.cif,amcsd 0011260
Selenium__0012427.cif,amcsd 0012427
Selenium__0012674.cif,amcsd 0012674
Selenium__0012739.cif,amcsd 0012739
Selenium__0012740.cif,amcsd 0012740
Selenium__0012741.cif,amcsd 0012741
Selenium__0012742.cif,amcsd 0012742
Selenium__0012743.cif,amcsd 0012743
Selenium__0012744.cif,amcsd 0012744
Selenium__0012745.cif,amcsd 0012745
Selenium__0012746.cif,amcsd 0012746
Selenium__0012747.cif,amcsd 0012747
Selenium__0012748.cif,amcsd 0012748
Selenium__0012749.cif,amcsd 0012749
Selenium__0012750.cif,amcsd 0012750
Selenium__0012751.cif,amcsd 0012751
Selenium__0012752.cif,amcsd 0012752
Selenium__0012753.cif,amcsd 0012753
Selenium__0015161.cif,amcsd 0015161
Selenium__0015162.cif,amcsd 0015162
Selenium__0015163.cif,amcsd 0015163
Selenium__0015164.cif,amcsd 0015164
Selenium__0015165.cif,amcsd 0015165
Selenium__0015166.cif,amcsd 0015166
Selenium__0015167.cif,amcsd 0015167
Seligmannite__0010700.cif,amcsd 0010700
Seligmannite__0010715.cif,amcsd 0010715
Semseyite__0000427.cif,amcsd 0000427
Senandorite__0010974.cif,amcsd 0010974
Senandorite__0014745.cif,amcsd 0014745
Shandite__0000051.cif,amcsd 0000051
Shiranuiite__0013431.cif,amcsd 0013431
Shiranuiite__0013432.cif,amcsd 0013432
Shiranuiite__0013433.cif,amcsd 0013433
Shiranuiite__0013434.cif,amcsd 0013434
Shiranuiite__0013435.cif,amcsd 0013435
Shiranuiite__0013443.cif,amcsd 0013443
Shuangfengite__0011785.cif,amcsd 0011785
Sicherite__0002673.cif,amcsd 0002673
Siegenite__0012158.cif,amcsd 0012158
Siegenite__0012159.cif,amcsd 0012159
Simonite__0010851.cif,amcsd 0010851
Sinnerite__0000475.cif,amcsd 0000475
Sinnerite__0020208.cif,amcsd 0020208
Skinnerite__0005434.cif,amcsd 0005434
Skippenite__0005942.cif,amcsd 0005942
Skippenite__0013194.cif,amcsd 0013194
Smithite__0014690.cif,amcsd 0014690
Sperrylite__0005169.cif,amcsd 0005169
Sphalerite__0000110.cif,amcsd 0000110
Sphalerite__0017595.cif,amcsd 0017595
Sphalerite__0018098.cif,amcsd 0018098
Sphalerite__0018099.cif,amcsd 0018099
Sphalerite__0018328.cif,amcsd 0018328
Spryite__0020943.cif,amcsd 0020943
Stalderite__0015409.cif,amcsd 0015409
Stangersite__0006896.cif,amcsd 0006896
Stannite__0005152.cif,amcsd 0005152
Stannite__0005838.cif,amcsd 0005838
Stannite__0005839.cif,amcsd 0005839
Stannite__0005840.cif,amcsd 0005840
Stannite__0010546.cif,amcsd 0010546
Stannoidite__0010783.cif,amcsd 0010783
Stephanite__0009367.cif,amcsd 0009367
Stephanite__0014585.cif,amcsd 0014585
Sternbergite__0014818.cif,amcsd 0014818
Sterryite__0019482.cif,amcsd 0019482
Stibnite__0003549.cif,amcsd 0003549
Stibnite__0003550.cif,amcsd 0003550
Stibnite__0003551.cif,amcsd 0003551
Stibnite__0003552.cif,amcsd 0003552
Stibnite__0003553.cif,amcsd 0003553
Stibnite__0003554.cif,amcsd 0003554
Stibnite__0003555.cif,amcsd 0003555
Stibnite__0003556.cif,amcsd 0003556
Stibnite__0003557.cif,amcsd 0003557
Stibnite__0008633.cif,amcsd 0008633
Stibnite__0008634.cif,amcsd 0008634
Stibnite__0008635.cif,amcsd 0008635
Stibnite__0008636.cif,amcsd 0008636
Stibnite__0008825.cif,amcsd 0008825
Stibnite__0008826.cif,amcsd 0008826
Stibnite__0008827.cif,amcsd 0008827
Stibnite__0008828.cif,amcsd 0008828
Stibnite__0008829.cif,amcsd 0008829
Stibnite__0008830.cif,amcsd 0008830
Stibnite__0008831.cif,amcsd 0008831
Stibnite__0008966.cif,amcsd 0008966
Stibnite__0010513.cif,amcsd 0010513
Stibnite__0010587.cif,amcsd 0010587
Stibnite__0010729.cif,amcsd 0010729
Stilleite__0011535.cif,amcsd 0011535
Stromeyerite__0009855.cif,amcsd 0009855
Stromeyerite__0009856.cif,amcsd 0009856
Stromeyerite__0009857.cif,amcsd 0009857
Sudovikovite__0011796.cif,amcsd 0011796
Sulphur__0010056.cif,amcsd 0010056
Sulphur__0010057.cif,amcsd 0010057
Sulphur__0011091.cif,amcsd 0011091
Sulphur__0011255.cif,amcsd 0011255
Sulphur__0011256.cif,amcsd 0011256
Sulphur__0012682.cif,amcsd 0012682
Sulvanite__0000146.cif,amcsd 0000146
Sulvanite__0017516.cif,amcsd 0017516
Sulvanite__0018085.cif,amcsd 0018085
Suredaite__0002474.cif,amcsd 0002474
Svetlanaite__0021060.cif,amcsd 0021060
Sylvanite__0000029.cif,amcsd 0000029
Talnakhite__0000272.cif,amcsd 0000272
Tarutinoite__0021769.cif,amcsd 0021769
Tarutinoite__original__0021769.cif,
Tazieffite__0004974.cif,amcsd 0004974
Teallite__0014721.cif,amcsd 0014721
Teallite__0014722.cif,amcsd 0014722
Tellurantimony__0009506.cif,amcsd 0009506
Tellurium__0011258.cif,amcsd 0011258
Tellurium__0017993.cif,amcsd 0017993
Tellurium__0020696.cif,amcsd 0020696
Tellurobismuthite__0012645.cif,amcsd 0012645
Tellurobismuthite__0013192.cif,amcsd 0013192
Tellurobismuthite__0014367.cif,amcsd 0014367
Tellurobismuthite__0014688.cif,amcsd 0014688
Telluronevskite__0006856.cif,amcsd 0006856
Telluropalladinite__0014141.cif,amcsd 0014141
Tennantite-(Ni)__0021480.cif,amcsd 0021480
Terrywallaceite__0019975.cif,amcsd 0019975
Testibiopalladite__0014015.cif,amcsd 0014015
Tetradymite__0000474.cif,amcsd 0000474
Tetradymite__0010544.cif,amcsd 0010544
Tetradymite__0014689.cif,amcsd 0014689
Tetradymite__0018035.cif,amcsd 0018035
Tetrahedrite-(Cu)__0014608.cif,amcsd 0014608
Tetrahedrite-(Hg)__0003193.cif,amcsd 0003193
Tetrahedrite-(Hg)__0003194.cif,amcsd 0003194
Tetrahedrite-(Hg)__0003195.cif,amcsd 0003195
Tetrahedrite-(Hg)__0003196.cif,amcsd 0003196
Tetrahedrite-(Ni)__0021479.cif,amcsd 0021479
Tetrahedrite-(Zn)__0014607.cif,amcsd 0014607
Tiemannite__0000050.cif,amcsd 0000050
Tiemannite__0011527.cif,amcsd 0011527
Tiemannite__0018070.cif,amcsd 0018070
Tolovkite__0001275.cif,amcsd 0001275
Trechmannite__0010682.cif,amcsd 0010682
Trogtalite__0011915.cif,amcsd 0011915
Troilite__0004158.cif,amcsd 0004158
Troilite__0004159.cif,amcsd 0004159
Troilite__0004160.cif,amcsd 0004160
Troilite__0009769.cif,amcsd 0009769
Troilite__0009770.cif,amcsd 0009770
Troilite__0009771.cif,amcsd 0009771
Troilite__0018055.cif,amcsd 0018055
Tsumoite__0000691.cif,amcsd 0000691
Tsumoite__0009660.cif,amcsd 0009660
Tungstenite__0011824.cif,amcsd 0011824
Tungstenite__0013601.cif,amcsd 0013601
Tungstenite__0013602.cif,amcsd 0013602
Tvalchrelidzeite__0006159.cif,amcsd 0006159
Twinnite__0019818.cif,amcsd 0019818
Tyrrellite__0010334.cif,amcsd 0010334
Uchucchacuaite__0018371.cif,amcsd 0018371
Uchucchacuaite__0018372.cif,amcsd 0018372
Ullmannite__0000576.cif,amcsd 0000576
Ullmannite__0000577.cif,amcsd 0000577
Ullmannite__0000774.cif,amcsd 0000774
Ullmannite__0014009.cif,amcsd 0014009
Ullmannite__0018100.cif,amcsd 0018100
Umangite__0009926.cif,amcsd 0009926
Umangite__0012164.cif,amcsd 0012164
Uytenbogaardtite__0012143.cif,amcsd 0012143
Uzonite__0005921.cif,amcsd 0005921
Uzonite__0012425.cif,amcsd 0012425
Vadlazarenkovite__original__0021779.cif,
Vaesite__0009853.cif,amcsd 0009853
Vaesite__0010989.cif,amcsd 0010989
Vaesite__0010990.cif,amcsd 0010990
Vaesite__0011917.cif,amcsd 0011917
Velikite__0015574.cif,amcsd 0015574
Vihorlatite__0007218.cif,amcsd 0007218
Vikingite__0014865.cif,amcsd 0014865
Violarite__0001000.cif,amcsd 0001000
Violarite__0004230.cif,amcsd 0004230
Violarite__0004231.cif,amcsd 0004231
Violarite__0004232.cif,amcsd 0004232
Violarite__0004233.cif,amcsd 0004233
Violarite__0004234.cif,amcsd 0004234
Violarite__0004235.cif,amcsd 0004235
Violarite__0004236.cif,amcsd 0004236
Violarite__0004237.cif,amcsd 0004237
Volynskite__0001346.cif,amcsd 0001346
Vrbaite__0010725.cif,amcsd 0010725
Vulcanite__0015547.cif,amcsd 0015547
Vurroite__0004570.cif,amcsd 0004570
Vysotskite__0010019.cif,amcsd 0010019
Vysotskite__0010567.cif,amcsd 0010567
Wakabayashilite__0003797.cif,amcsd 0003797
Wakabayashilite__0020479.cif,amcsd 0020479
Wakabayashilite__0020480.cif,amcsd 0020480
Wallisite__0010669.cif,amcsd 0010669
Wallisite__0018394.cif,amcsd 0018394
Wassonite__0018877.cif,amcsd 0018877
Weibullite__0005173.cif,amcsd 0005173
Weissbergite__0009980.cif,amcsd 0009980
Weissite__0015565.cif,amcsd 0015565
Weissite__0020112.cif,amcsd 0020112
Wilkmanite__0014699.cif,amcsd 0014699
Wilkmanite__0014700.cif,amcsd 0014700
Wittichenite__0009490.cif,amcsd 0009490
Wurtzite__0010493.cif,amcsd 0010493
Wurtzite__0015179.cif,amcsd 0015179
Wuyanzhiite__0021058.cif,amcsd 0021058
Xanthoconite__0009336.cif,amcsd 0009336
Xanthoconite__0014651.cif,amcsd 0014651
Xilingolite__0005755.cif,amcsd 0005755
Zavyalovite__0021554.cif,amcsd 0021554
Zhonghongite__0021567.cif,amcsd 0021567
Zhonghongite__original__0021567.cif,
Zinkenite__0010769.cif,amcsd 0010769
Zinkenite__0012064.cif,amcsd 0012064
Znamenskyite__0020219.cif,amcsd 0020219
