File,Database_Code,Category
ClathrateI_all_CollCode162167.cif,ICSD 162167,6c-16i-24k
ClathrateI_all_CollCode162168.cif,ICSD 162168,6c-16i-24k
ClathrateI_all_CollCode162169.cif,ICSD 162169,6c-16i-24k
ClathrateI_all_CollCode162170.cif,ICSD 162170,6c-16i-24k
ClathrateI_all_CollCode162171.cif,ICSD 162171,6c-16i-24k
ClathrateI_all_CollCode162606.cif,ICSD 162606,6c-16i-24k
ClathrateI_all_CollCode162929.cif,ICSD 162929,6c-16i-24k
ClathrateI_all_CollCode163423.cif,ICSD 163423,6c-16i-24k
ClathrateI_all_CollCode163936.cif,ICSD 163936,6c-16i-24k
ClathrateI_all_CollCode165179.cif,ICSD 165179,6c-16i-24k
ClathrateI_all_CollCode165369.cif,ICSD 165369,6c-16i-24k
ClathrateI_all_CollCode165370.cif,ICSD 165370,6c-16i-24k
ClathrateI_all_CollCode165803.cif,ICSD 165803,6c-16i-24k
ClathrateI_all_CollCode167810.cif,ICSD 167810,6c-16i-24k
ClathrateI_all_CollCode168734.cif,ICSD 168734,6c-16i-24k
ClathrateI_all_CollCode170289.cif,ICSD 170289,6c-16i-24k
ClathrateI_all_CollCode170290.cif,ICSD 170290,6c-16i-24k
ClathrateI_all_CollCode170291.cif,ICSD 170291,6c-16i-24k
ClathrateI_all_CollCode170292.cif,ICSD 170292,6c-16i-24k
ClathrateI_all_CollCode170293.cif,ICSD 170293,6c-16i-24k
ClathrateI_all_CollCode170294.cif,ICSD 170294,6c-16i-24k
ClathrateI_all_CollCode170295.cif,ICSD 170295,6c-16i-24k
ClathrateI_all_CollCode170296.cif,ICSD 170296,6c-16i-24k
ClathrateI_all_CollCode170297.cif,ICSD 170297,6c-16i-24k
ClathrateI_all_CollCode170298.cif,ICSD 170298,6c-16i-24k
ClathrateI_all_CollCode170299.cif,ICSD 170299,6c-16i-24k
ClathrateI_all_CollCode170300.cif,ICSD 170300,6c-16i-24k
ClathrateI_all_CollCode170301.cif,ICSD 170301,6c-16i-24k
ClathrateI_all_CollCode170302.cif,ICSD 170302,6c-16i-24k
ClathrateI_all_CollCode170303.cif,ICSD 170303,6c-16i-24k
ClathrateI_all_CollCode170304.cif,ICSD 170304,6c-16i-24k
ClathrateI_all_CollCode171237.cif,ICSD 171237,6c-16i-24k
ClathrateI_all_CollCode171241.cif,ICSD 171241,6c-16i-24k
ClathrateI_all_CollCode172829.cif,ICSD 172829,6c-16i-24k
ClathrateI_all_CollCode172830.cif,ICSD 172830,6c-16i-24k
ClathrateI_all_CollCode172831.cif,ICSD 172831,6c-16i-24k
ClathrateI_all_CollCode172832.cif,ICSD 172832,6c-16i-24k
ClathrateI_all_CollCode172833.cif,ICSD 172833,6c-16i-24k
ClathrateI_all_CollCode172834.cif,ICSD 172834,6c-16i-24k
ClathrateI_all_CollCode172835.cif,ICSD 172835,6c-16i-24k
ClathrateI_all_CollCode172836.cif,ICSD 172836,6c-16i-24k
ClathrateI_all_CollCode172837.cif,ICSD 172837,6c-16i-24k
ClathrateI_all_CollCode172838.cif,ICSD 172838,6c-16i-24k
