File,Database_Code,Category
ClathrateI_all_CollCode418008.cif,ICSD 418008,6c-16i-24k
ClathrateI_all_CollCode418045.cif,ICSD 418045,6c-16i-24k
ClathrateI_all_CollCode419207.cif,ICSD 419207,6c-16i-24k
ClathrateI_all_CollCode419208.cif,ICSD 419208,6c-16i-24k
ClathrateI_all_CollCode419209.cif,ICSD 419209,6c-16i-24k
ClathrateI_all_CollCode419210.cif,ICSD 419210,6c-16i-24k
ClathrateI_all_CollCode419211.cif,ICSD 419211,6c-16i-24k
ClathrateI_all_CollCode419212.cif,ICSD 419212,6c-16i-24k
ClathrateI_all_CollCode419213.cif,ICSD 419213,6c-16i-24k
ClathrateI_all_CollCode420113.cif,ICSD 420113,6c-16i-24k
ClathrateI_all_CollCode420114.cif,ICSD 420114,6c-16i-24k
ClathrateI_all_CollCode422586.cif,ICSD 422586,6c-16i-24k
ClathrateI_all_CollCode422654.cif,ICSD 422654,6c-16i-24k
ClathrateI_all_CollCode423131.cif,ICSD 423131,6c-16i-24k
ClathrateI_all_CollCode423636.cif,ICSD 423636,6c-16i-24k
ClathrateI_all_CollCode423660.cif,ICSD 423660,6c-16i-24k
ClathrateI_all_CollCode424860.cif,ICSD 424860,6c-16i-24k
ClathrateI_all_CollCode424861.cif,ICSD 424861,6c-16i-24k
ClathrateI_all_CollCode424862.cif,ICSD 424862,6c-16i-24k
ClathrateI_all_CollCode424863.cif,ICSD 424863,6c-16i-24k
ClathrateI_all_CollCode425873.cif,ICSD 425873,6c-16i-24k
ClathrateI_all_CollCode426509.cif,ICSD 426509,6c-16i-24k
ClathrateI_all_CollCode427684.cif,ICSD 427684,6c-16i-24k
ClathrateI_all_CollCode427685.cif,ICSD 427685,6c-16i-24k
ClathrateI_all_CollCode427686.cif,ICSD 427686,6c-16i-24k
ClathrateI_all_CollCode429308.cif,ICSD 429308,6c-16i-24k
ClathrateI_all_CollCode429309.cif,ICSD 429309,6c-16i-24k
ClathrateI_all_CollCode429310.cif,ICSD 429310,6c-16i-24k
ClathrateI_all_CollCode429311.cif,ICSD 429311,6c-16i-24k
ClathrateI_all_CollCode429312.cif,ICSD 429312,6c-16i-24k
ClathrateI_all_CollCode429313.cif,ICSD 429313,6c-16i-24k
ClathrateI_all_CollCode429314.cif,ICSD 429314,6c-16i-24k
ClathrateI_all_CollCode433277.cif,ICSD 433277,6c-16i-24k
ClathrateI_all_CollCode433278.cif,ICSD 433278,6c-16i-24k
ClathrateI_all_CollCode433338.cif,ICSD 433338,6c-16i-24k
ClathrateI_all_CollCode46841.cif,ICSD 46841,6c-16i-24k
ClathrateI_all_CollCode48621.cif,ICSD 48621,6c-16i-24k
ClathrateI_all_CollCode499448.cif,ICSD 499448,6c-16i-24k
ClathrateI_all_CollCode50796.cif,ICSD 50796,6c-16i-24k
ClathrateI_all_CollCode52613.cif,ICSD 52613,6c-16i-24k
ClathrateI_all_CollCode52633.cif,ICSD 52633,6c-16i-24k
ClathrateI_all_CollCode56719.cif,ICSD 56719,6c-16i-24k
ClathrateI_all_CollCode56980.cif,ICSD 56980,6c-16i-24k
ClathrateI_all_CollCode57034.cif,ICSD 57034,6c-16i-24k
ClathrateI_all_CollCode57035.cif,ICSD 57035,6c-16i-24k
ClathrateI_all_CollCode57036.cif,ICSD 57036,6c-16i-24k
ClathrateI_all_CollCode57037.cif,ICSD 57037,6c-16i-24k
ClathrateI_all_CollCode59226.cif,ICSD 59226,6c-16i-24k
ClathrateI_all_CollCode606154.cif,ICSD 606154,6c-16i-24k
ClathrateI_all_CollCode607983.cif,ICSD 607983,6c-16i-24k
ClathrateI_all_CollCode608259.cif,ICSD 608259,6c-16i-24k
ClathrateI_all_CollCode608260.cif,ICSD 608260,6c-16i-24k
ClathrateI_all_CollCode609336.cif,ICSD 609336,6c-16i-24k
ClathrateI_all_CollCode615886.cif,ICSD 615886,6c-16i-24k
ClathrateI_all_CollCode615897.cif,ICSD 615897,6c-16i-24k
ClathrateI_all_CollCode615908.cif,ICSD 615908,6c-16i-24k
ClathrateI_all_CollCode62352.cif,ICSD 62352,6c-16i-24k
ClathrateI_all_CollCode627107.cif,ICSD 627107,6c-16i-24k
ClathrateI_all_CollCode627108.cif,ICSD 627108,6c-16i-24k
ClathrateI_all_CollCode634249.cif,ICSD 634249,6c-16i-24k
ClathrateI_all_CollCode634262.cif,ICSD 634262,6c-16i-24k
ClathrateI_all_CollCode634280.cif,ICSD 634280,6c-16i-24k
ClathrateI_all_CollCode634471.cif,ICSD 634471,6c-16i-24k
ClathrateI_all_CollCode634472.cif,ICSD 634472,6c-16i-24k
ClathrateI_all_CollCode634473.cif,ICSD 634473,6c-16i-24k
ClathrateI_all_CollCode634728.cif,ICSD 634728,6c-16i-24k
ClathrateI_all_CollCode635417.cif,ICSD 635417,6c-16i-24k
ClathrateI_all_CollCode636685.cif,ICSD 636685,6c-16i-24k
ClathrateI_all_CollCode636686.cif,ICSD 636686,6c-16i-24k
ClathrateI_all_CollCode639836.cif,ICSD 639836,6c-16i-24k
ClathrateI_all_CollCode639837.cif,ICSD 639837,6c-16i-24k
ClathrateI_all_CollCode710030.cif,ICSD 710030,6c-16i-24k
ClathrateI_all_CollCode710091.cif,ICSD 710091,6c-16i-24k
ClathrateI_all_CollCode77178.cif,ICSD 77178,6c-16i-24k
ClathrateI_all_CollCode77179.cif,ICSD 77179,6c-16i-24k
ClathrateI_all_CollCode77180.cif,ICSD 77180,6c-16i-24k
ClathrateI_all_CollCode79866.cif,ICSD 79866,6c-16i-24k
ClathrateI_all_CollCode86756.cif,ICSD 86756,6c-16i-24k
ClathrateI_all_CollCode90093.cif,ICSD 90093,6c-16i-24k
ClathrateI_all_CollCode90172.cif,ICSD 90172,6c-16i-24k
ClathrateI_all_CollCode90173.cif,ICSD 90173,6c-16i-24k
ClathrateI_all_CollCode90174.cif,ICSD 90174,6c-16i-24k
ClathrateI_all_CollCode90175.cif,ICSD 90175,6c-16i-24k
ClathrateI_all_CollCode90176.cif,ICSD 90176,6c-16i-24k
ClathrateI_all_CollCode90177.cif,ICSD 90177,6c-16i-24k
ClathrateI_all_CollCode90467.cif,ICSD 90467,6c-16i-24k
ClathrateI_all_CollCode91103.cif,ICSD 91103,6c-16i-24k
ClathrateI_all_CollCode91285.cif,ICSD 91285,6c-16i-24k
ClathrateI_all_CollCode91286.cif,ICSD 91286,6c-16i-24k
ClathrateI_all_CollCode91287.cif,ICSD 91287,6c-16i-24k
ClathrateI_all_CollCode93316.cif,ICSD 93316,6c-16i-24k
ClathrateI_all_CollCode93317.cif,ICSD 93317,6c-16i-24k
ClathrateI_all_CollCode93318.cif,ICSD 93318,6c-16i-24k
ClathrateI_all_CollCode93319.cif,ICSD 93319,6c-16i-24k
ClathrateI_all_CollCode93320.cif,ICSD 93320,6c-16i-24k
ClathrateI_all_CollCode93455.cif,ICSD 93455,6c-16i-24k
ClathrateI_all_CollCode93456.cif,ICSD 93456,6c-16i-24k
ClathrateI_all_CollCode93457.cif,ICSD 93457,6c-16i-24k
ClathrateI_all_CollCode97476.cif,ICSD 97476,6c-16i-24k
ClathrateI_all_CollCode97477.cif,ICSD 97477,6c-16i-24k
ClathrateI_all_CollCode97478.cif,ICSD 97478,6c-16i-24k
ClathrateI_all_CollCode97479.cif,ICSD 97479,6c-16i-24k
ClathrateI_all_CollCode97480.cif,ICSD 97480,6c-16i-24k
ClathrateI_all_CollCode99511.cif,ICSD 99511,6c-16i-24k
ClathrateI_all_CollCode99512.cif,ICSD 99512,6c-16i-24k
Na-B-Si-clatI-48621.cif,ICSD 48621,6c-16i-24k
ClathrateI_all_CollCode25063.cif,ICSD 25063,6c-16i-24k-48l
ClathrateI_all_CollCode25064.cif,ICSD 25064,6c-16i-24k-48l
ClathrateI_all_CollCode25065.cif,ICSD 25065,6c-16i-24k-48l
ClathrateI_all_CollCode25066.cif,ICSD 25066,6c-16i-24k-48l
ClathrateI_all_CollCode25067.cif,ICSD 25067,6c-16i-24k-48l
ClathrateI_all_CollCode111109.cif,ICSD 111109,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode145822.cif,ICSD 145822,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode151880.cif,ICSD 151880,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode161949.cif,ICSD 161949,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode161950.cif,ICSD 161950,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode166918.cif,ICSD 166918,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode179569.cif,ICSD 179569,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode179570.cif,ICSD 179570,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode186989.cif,ICSD 186989,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189574.cif,ICSD 189574,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189575.cif,ICSD 189575,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189576.cif,ICSD 189576,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189577.cif,ICSD 189577,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189578.cif,ICSD 189578,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189579.cif,ICSD 189579,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189580.cif,ICSD 189580,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189581.cif,ICSD 189581,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189582.cif,ICSD 189582,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189583.cif,ICSD 189583,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189584.cif,ICSD 189584,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189585.cif,ICSD 189585,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189586.cif,ICSD 189586,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189587.cif,ICSD 189587,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189588.cif,ICSD 189588,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189589.cif,ICSD 189589,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189590.cif,ICSD 189590,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189591.cif,ICSD 189591,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189592.cif,ICSD 189592,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode189593.cif,ICSD 189593,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode236975.cif,ICSD 236975,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode236976.cif,ICSD 236976,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251847.cif,ICSD 251847,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251848.cif,ICSD 251848,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251849.cif,ICSD 251849,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251850.cif,ICSD 251850,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251851.cif,ICSD 251851,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251852.cif,ICSD 251852,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251853.cif,ICSD 251853,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251854.cif,ICSD 251854,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251855.cif,ICSD 251855,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251856.cif,ICSD 251856,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251857.cif,ICSD 251857,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251858.cif,ICSD 251858,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode251859.cif,ICSD 251859,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode262678.cif,ICSD 262678,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode262679.cif,ICSD 262679,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode262680.cif,ICSD 262680,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode409605.cif,ICSD 409605,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode422585.cif,ICSD 422585,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode422587.cif,ICSD 422587,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode90178.cif,ICSD 90178,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode90179.cif,ICSD 90179,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode90180.cif,ICSD 90180,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode90181.cif,ICSD 90181,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode90182.cif,ICSD 90182,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93321.cif,ICSD 93321,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93322.cif,ICSD 93322,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93323.cif,ICSD 93323,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93324.cif,ICSD 93324,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93325.cif,ICSD 93325,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93326.cif,ICSD 93326,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93327.cif,ICSD 93327,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode93328.cif,ICSD 93328,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode94297.cif,ICSD 94297,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode94298.cif,ICSD 94298,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode95916.cif,ICSD 95916,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode95917.cif,ICSD 95917,6c-16i-24k+M_on_24k
ClathrateI_all_CollCode131825.cif,ICSD 131825,6d-16i-24k
ClathrateI_all_CollCode131826.cif,ICSD 131826,6d-16i-24k
ClathrateI_all_CollCode131827.cif,ICSD 131827,6d-16i-24k
ClathrateI_all_CollCode131828.cif,ICSD 131828,6d-16i-24k
ClathrateI_all_CollCode131829.cif,ICSD 131829,6d-16i-24k
ClathrateI_all_CollCode131836.cif,ICSD 131836,6d-16i-24k
ClathrateI_all_CollCode145955.cif,ICSD 145955,6d-16i-24k
ClathrateI_all_CollCode145956.cif,ICSD 145956,6d-16i-24k
ClathrateI_all_CollCode145957.cif,ICSD 145957,6d-16i-24k
ClathrateI_all_CollCode159443.cif,ICSD 159443,6d-16i-24k
ClathrateI_all_CollCode159444.cif,ICSD 159444,6d-16i-24k
ClathrateI_all_CollCode159445.cif,ICSD 159445,6d-16i-24k
ClathrateI_all_CollCode159446.cif,ICSD 159446,6d-16i-24k
ClathrateI_all_CollCode159447.cif,ICSD 159447,6d-16i-24k
ClathrateI_all_CollCode159448.cif,ICSD 159448,6d-16i-24k
ClathrateI_all_CollCode159449.cif,ICSD 159449,6d-16i-24k
ClathrateI_all_CollCode159450.cif,ICSD 159450,6d-16i-24k
ClathrateI_all_CollCode159451.cif,ICSD 159451,6d-16i-24k
ClathrateI_all_CollCode166709.cif,ICSD 166709,6d-16i-24k
ClathrateI_all_CollCode166710.cif,ICSD 166710,6d-16i-24k
ClathrateI_all_CollCode166711.cif,ICSD 166711,6d-16i-24k
ClathrateI_all_CollCode166712.cif,ICSD 166712,6d-16i-24k
ClathrateI_all_CollCode171242.cif,ICSD 171242,6d-16i-24k
ClathrateI_all_CollCode177998.cif,ICSD 177998,6d-16i-24k
ClathrateI_all_CollCode178268.cif,ICSD 178268,6d-16i-24k
ClathrateI_all_CollCode181519.cif,ICSD 181519,6d-16i-24k
ClathrateI_all_CollCode181520.cif,ICSD 181520,6d-16i-24k
ClathrateI_all_CollCode181521.cif,ICSD 181521,6d-16i-24k
ClathrateI_all_CollCode181522.cif,ICSD 181522,6d-16i-24k
ClathrateI_all_CollCode181523.cif,ICSD 181523,6d-16i-24k
ClathrateI_all_CollCode181524.cif,ICSD 181524,6d-16i-24k
ClathrateI_all_CollCode181525.cif,ICSD 181525,6d-16i-24k
ClathrateI_all_CollCode182909.cif,ICSD 182909,6d-16i-24k
ClathrateI_all_CollCode185931.cif,ICSD 185931,6d-16i-24k
ClathrateI_all_CollCode185932.cif,ICSD 185932,6d-16i-24k
ClathrateI_all_CollCode185933.cif,ICSD 185933,6d-16i-24k
ClathrateI_all_CollCode186447.cif,ICSD 186447,6d-16i-24k
ClathrateI_all_CollCode186525.cif,ICSD 186525,6d-16i-24k
ClathrateI_all_CollCode186526.cif,ICSD 186526,6d-16i-24k
ClathrateI_all_CollCode186527.cif,ICSD 186527,6d-16i-24k
ClathrateI_all_CollCode186539.cif,ICSD 186539,6d-16i-24k
ClathrateI_all_CollCode186540.cif,ICSD 186540,6d-16i-24k
ClathrateI_all_CollCode186541.cif,ICSD 186541,6d-16i-24k
ClathrateI_all_CollCode189364.cif,ICSD 189364,6d-16i-24k
ClathrateI_all_CollCode189365.cif,ICSD 189365,6d-16i-24k
ClathrateI_all_CollCode189366.cif,ICSD 189366,6d-16i-24k
ClathrateI_all_CollCode189887.cif,ICSD 189887,6d-16i-24k
ClathrateI_all_CollCode189888.cif,ICSD 189888,6d-16i-24k
ClathrateI_all_CollCode189889.cif,ICSD 189889,6d-16i-24k
ClathrateI_all_CollCode189890.cif,ICSD 189890,6d-16i-24k
ClathrateI_all_CollCode189891.cif,ICSD 189891,6d-16i-24k
ClathrateI_all_CollCode189892.cif,ICSD 189892,6d-16i-24k
ClathrateI_all_CollCode189893.cif,ICSD 189893,6d-16i-24k
ClathrateI_all_CollCode189894.cif,ICSD 189894,6d-16i-24k
ClathrateI_all_CollCode189895.cif,ICSD 189895,6d-16i-24k
ClathrateI_all_CollCode189896.cif,ICSD 189896,6d-16i-24k
ClathrateI_all_CollCode189897.cif,ICSD 189897,6d-16i-24k
ClathrateI_all_CollCode189898.cif,ICSD 189898,6d-16i-24k
ClathrateI_all_CollCode189899.cif,ICSD 189899,6d-16i-24k
ClathrateI_all_CollCode189900.cif,ICSD 189900,6d-16i-24k
ClathrateI_all_CollCode189901.cif,ICSD 189901,6d-16i-24k
ClathrateI_all_CollCode189902.cif,ICSD 189902,6d-16i-24k
ClathrateI_all_CollCode189903.cif,ICSD 189903,6d-16i-24k
ClathrateI_all_CollCode189904.cif,ICSD 189904,6d-16i-24k
ClathrateI_all_CollCode189905.cif,ICSD 189905,6d-16i-24k
ClathrateI_all_CollCode189906.cif,ICSD 189906,6d-16i-24k
ClathrateI_all_CollCode189907.cif,ICSD 189907,6d-16i-24k
ClathrateI_all_CollCode189908.cif,ICSD 189908,6d-16i-24k
ClathrateI_all_CollCode189909.cif,ICSD 189909,6d-16i-24k
ClathrateI_all_CollCode189910.cif,ICSD 189910,6d-16i-24k
ClathrateI_all_CollCode189917.cif,ICSD 189917,6d-16i-24k
ClathrateI_all_CollCode189918.cif,ICSD 189918,6d-16i-24k
ClathrateI_all_CollCode189919.cif,ICSD 189919,6d-16i-24k
ClathrateI_all_CollCode189920.cif,ICSD 189920,6d-16i-24k
ClathrateI_all_CollCode189921.cif,ICSD 189921,6d-16i-24k
ClathrateI_all_CollCode189922.cif,ICSD 189922,6d-16i-24k
ClathrateI_all_CollCode189927.cif,ICSD 189927,6d-16i-24k
ClathrateI_all_CollCode189928.cif,ICSD 189928,6d-16i-24k
ClathrateI_all_CollCode189929.cif,ICSD 189929,6d-16i-24k
ClathrateI_all_CollCode189930.cif,ICSD 189930,6d-16i-24k
ClathrateI_all_CollCode189931.cif,ICSD 189931,6d-16i-24k
ClathrateI_all_CollCode189932.cif,ICSD 189932,6d-16i-24k
ClathrateI_all_CollCode190431.cif,ICSD 190431,6d-16i-24k
ClathrateI_all_CollCode190432.cif,ICSD 190432,6d-16i-24k
ClathrateI_all_CollCode190433.cif,ICSD 190433,6d-16i-24k
ClathrateI_all_CollCode190434.cif,ICSD 190434,6d-16i-24k
ClathrateI_all_CollCode190435.cif,ICSD 190435,6d-16i-24k
ClathrateI_all_CollCode191989.cif,ICSD 191989,6d-16i-24k
ClathrateI_all_CollCode194245.cif,ICSD 194245,6d-16i-24k
ClathrateI_all_CollCode237246.cif,ICSD 237246,6d-16i-24k
ClathrateI_all_CollCode237247.cif,ICSD 237247,6d-16i-24k
ClathrateI_all_CollCode237674.cif,ICSD 237674,6d-16i-24k
ClathrateI_all_CollCode237675.cif,ICSD 237675,6d-16i-24k
ClathrateI_all_CollCode237676.cif,ICSD 237676,6d-16i-24k
ClathrateI_all_CollCode246739.cif,ICSD 246739,6d-16i-24k
ClathrateI_all_CollCode246740.cif,ICSD 246740,6d-16i-24k
ClathrateI_all_CollCode246741.cif,ICSD 246741,6d-16i-24k
ClathrateI_all_CollCode247519.cif,ICSD 247519,6d-16i-24k
ClathrateI_all_CollCode247520.cif,ICSD 247520,6d-16i-24k
ClathrateI_all_CollCode247521.cif,ICSD 247521,6d-16i-24k
ClathrateI_all_CollCode247522.cif,ICSD 247522,6d-16i-24k
ClathrateI_all_CollCode247523.cif,ICSD 247523,6d-16i-24k
ClathrateI_all_CollCode247524.cif,ICSD 247524,6d-16i-24k
ClathrateI_all_CollCode247525.cif,ICSD 247525,6d-16i-24k
ClathrateI_all_CollCode247526.cif,ICSD 247526,6d-16i-24k
ClathrateI_all_CollCode247527.cif,ICSD 247527,6d-16i-24k
ClathrateI_all_CollCode247528.cif,ICSD 247528,6d-16i-24k
ClathrateI_all_CollCode247529.cif,ICSD 247529,6d-16i-24k
ClathrateI_all_CollCode247530.cif,ICSD 247530,6d-16i-24k
ClathrateI_all_CollCode247531.cif,ICSD 247531,6d-16i-24k
ClathrateI_all_CollCode247532.cif,ICSD 247532,6d-16i-24k
ClathrateI_all_CollCode247533.cif,ICSD 247533,6d-16i-24k
ClathrateI_all_CollCode247534.cif,ICSD 247534,6d-16i-24k
ClathrateI_all_CollCode248885.cif,ICSD 248885,6d-16i-24k
ClathrateI_all_CollCode248886.cif,ICSD 248886,6d-16i-24k
ClathrateI_all_CollCode248887.cif,ICSD 248887,6d-16i-24k
ClathrateI_all_CollCode248888.cif,ICSD 248888,6d-16i-24k
ClathrateI_all_CollCode248889.cif,ICSD 248889,6d-16i-24k
ClathrateI_all_CollCode248890.cif,ICSD 248890,6d-16i-24k
ClathrateI_all_CollCode248891.cif,ICSD 248891,6d-16i-24k
ClathrateI_all_CollCode248892.cif,ICSD 248892,6d-16i-24k
ClathrateI_all_CollCode255719.cif,ICSD 255719,6d-16i-24k
ClathrateI_all_CollCode290624.cif,ICSD 290624,6d-16i-24k
ClathrateI_all_CollCode290625.cif,ICSD 290625,6d-16i-24k
ClathrateI_all_CollCode290626.cif,ICSD 290626,6d-16i-24k
ClathrateI_all_CollCode290627.cif,ICSD 290627,6d-16i-24k
ClathrateI_all_CollCode290628.cif,ICSD 290628,6d-16i-24k
ClathrateI_all_CollCode290629.cif,ICSD 290629,6d-16i-24k
ClathrateI_all_CollCode290630.cif,ICSD 290630,6d-16i-24k
ClathrateI_all_CollCode290631.cif,ICSD 290631,6d-16i-24k
ClathrateI_all_CollCode290632.cif,ICSD 290632,6d-16i-24k
ClathrateI_all_CollCode414644.cif,ICSD 414644,6d-16i-24k
ClathrateI_all_CollCode422652.cif,ICSD 422652,6d-16i-24k
ClathrateI_all_CollCode422653.cif,ICSD 422653,6d-16i-24k
ClathrateI_all_CollCode424151.cif,ICSD 424151,6d-16i-24k
ClathrateI_all_CollCode93844.cif,ICSD 93844,6d-16i-24k
ClathrateI_all_CollCode418183.cif,ICSD 418183,6d-16i-24k-48l
ClathrateI_all_CollCode191990.cif,ICSD 191990,6d-16i-24k-M_on_24k
ClathrateI_all_CollCode195794.cif,ICSD 195794,6d-16i-24k-M_on_24k
ClathrateI_all_CollCode236333.cif,ICSD 236333,6d-16i-24k-M_on_24k
ClathrateI_all_CollCode237575.cif,ICSD 237575,6d-16i-24k-M_on_24k
ClathrateI_all_CollCode253318.cif,ICSD 253318,6f-8i-12j-12k
ClathrateI_all_CollCode260310.cif,ICSD 260310,6f-8i-12j-12k
ClathrateI_all_CollCode260311.cif,ICSD 260311,6f-8i-12j-12k
ClathrateI_all_CollCode409928.cif,ICSD 409928,6f-8i-12j-12k
ClathrateI_all_CollCode409929.cif,ICSD 409929,6f-8i-12j-12k
ClathrateI_all_CollCode409930.cif,ICSD 409930,6f-8i-12j-12k
ClathrateI_all_CollCode248893.cif,ICSD 248893,6g-8i-12j-12k
